,name,review_anger,review_fear,review_joy,review_sadness,review_analytical,review_confident,review_tentative,review_title_anger,review_title_fear,review_title_joy,review_title_sadness,review_title_analytical,review_title_confident,review_title_tentative
92,Camelback Resort Aquatopia Indoor Waterpark,0.0,0.0,0.9227,0.5482635,0.0,0.916964,0.0,0.0,0.0,0.0,0.599584,0.762356,0.0,0.0
93,Campanile Lyon Ecully,0.0,0.0,0.6883223333333334,0.6231965,0.7928076666666666,0.7144357777777777,0.963083,0.0,0.0,0.6723480000000001,0.0,0.0,0.0,0.88939
94,Campus Inn & Suites Eugene Downtown,0.5866669999999999,0.578941,0.7056928431372549,0.5818448333333334,0.7050060000000001,0.7706853939393938,0.803577,0.0,0.0,0.7527040909090907,0.667295,0.808216,0.8809483333333334,0.9222296363636366
95,Candlewood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Candlewood Suites Eugene Springfield,0.598058,0.5929605,0.7476787,0.6988025,0.6476827647058825,0.8632754285714287,0.7772170526315789,0.0,0.0,0.779198088235294,0.680123,0.8184269999999999,0.8607403571428571,0.80566625
97,Candlewood Suites Huntersville,0.931034,0.931034,0.7091258205128205,0.732558,0.7721658571428572,0.8223191111111111,0.7573637272727273,0.0,0.0,0.726509923076923,0.568204,0.0,0.92125,0.0
98,Candlewood Suites Indianapolis Northwest,0.0,0.0,0.6779115882352942,0.5321265,0.6972444,0.8432855,0.795972875,0.0,0.0,0.8571544285714288,0.0,0.660937,0.9775899999999998,0.6816989999999999
99,Candlewood Suites Oklahoma City-moore,0.5358935,0.577839,0.6934112608695652,0.594929,0.7034029130434784,0.8580874230769232,0.6878575555555556,0.0,0.798165,0.7065724999999999,0.8629979999999999,0.0,0.997153,0.8893900000000001
100,Candlewood Suites West Springfield,0.528692,0.0,0.6803971875,0.5745365,0.6737283333333333,0.8249244285714284,0.7518085,0.6925979999999999,0.0,0.8468453846153848,0.916667,0.932385,0.8969595714285715,0.0
101,Canyon Gate Motel,0.543905,0.0,0.6935874000000001,0.51828,0.5028050000000001,0.8172440000000001,0.72024825,0.0,0.0,0.7597748,0.0,0.620279,0.618451,0.0
102,Carleton Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Casa Del Mar Inn Bandb,0.6242415,0.0,0.7506177215189873,0.607805,0.7148748399999999,0.8001281515151515,0.7810535000000001,0.0,0.0,0.7882410526315788,0.0,0.9079980000000001,0.9697800909090908,0.960226
104,Castle Kona Reef,0.5799703999999999,0.0,0.7211308979591838,0.568048,0.7217020588235296,0.773917125,0.7810478095238095,0.0,0.0,0.7944464285714284,0.5674239999999999,0.7044615714285715,0.8759422499999999,0.9003899999999999
105,Cedar Crest Inn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Central House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Chalet Leon At Hector Falls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Chalfant House,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Chelsea Inn,0.6470243333333334,0.6678472,0.7046211927710846,0.5646804,0.7109243783783782,0.8030956818181817,0.7400223448275862,0.553355,0.0,0.7544937500000002,0.6885439999999999,0.75377875,0.9192159999999998,0.5538
110,Cherokee Lodge Bed and Breakfast,0.0,0.505474,0.7920766799999999,0.58315625,0.6674561000000001,0.8264510303030301,0.7743057272727273,0.0,0.0,0.7999363928571428,0.566258,0.862196,0.9518274,0.0
111,Cherry Orchard Inn,0.528878,0.586111,0.7189327999999999,0.5448932500000001,0.7186523999999999,0.802702,0.7833581,0.0,0.8068042,0.7043426,0.0,0.79362175,0.9107163333333333,0.9016871999999999
112,Chippewa Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,City Express Irapuato,0.0,0.0,0.7994150909090909,0.54875,0.7748362857142858,0.8640403333333335,0.6785636666666667,0.0,0.0,0.6001734285714286,0.0,0.0,0.0,0.7855445
114,Clarion Inn,0.0,0.0,0.712460625,0.617699,0.710255,0.8069517500000001,0.7139933333333334,0.0,0.0,0.73455075,0.0,0.932977,0.0,0.786991
115,Clarion Suites Philadelphia,0.5583130000000001,0.0,0.6057416,0.5941853333333333,0.7582986666666667,0.8027262500000001,0.709824,0.0,0.0,0.8674639999999999,0.0,0.994057,0.751512,0.88939
116,Clatskanie River Inn,0.624371,0.0,0.805147441860465,0.5951230000000001,0.6965603636363636,0.8600375416666668,0.8667747777777778,0.0,0.0,0.7579813,0.0,0.9190661428571428,0.9632611666666665,0.8666065000000001
